"","count","continent_of_origin","year","percent_speak_english_less_than_very_well","not_in_labor_force"
"1",13113834,"Asia",2017,0.452,0.337
"2",12688938,"Asia",2016,0.457,0.361
"3",12399473,"Asia",2015,0.461,0.357
"4",11999010,"Asia",2014,0.464,0.351
"5",11624956,"Asia",2013,0.465,0.345
"6",11341138,"Asia",2012,0.466,0.339
"7",11027803,"Asia",2011,0.465,0.338
"8",10747229,"Asia",2010,0.462,0.337
"9",10066515,"Asia",2009,0.464,0.343
"10",4794619,"Europe",2017,0.265,0.423
"11",4781379,"Europe",2016,0.27,0.423
"12",4805230,"Europe",2015,0.276,0.423
"13",4813466,"Europe",2014,0.281,0.425
"14",4820496,"Europe",2013,0.284,0.423
"15",4830862,"Europe",2012,0.287,0.422
"16",4844769,"Europe",2011,0.289,0.424
"17",4847078,"Europe",2010,0.292,0.426
"18",4951980,"Europe",2009,0.296,0.429
"19",2037497,"Africa",2017,0.284,0.261
"20",825567,"North America",2017,0.036,0.433
"21",246665,"Oceania",2017,0.216,0.312
"22",1924254,"Africa",2016,0.288,0.26
"23",824081,"North America",2016,0.039,0.437
"24",246208,"Oceania",2016,0.215,0.316
"25",1832736,"Africa",2015,0.288,0.258
"26",826062,"North America",2015,0.04,0.436
"27",237552,"Oceania",2015,0.216,0.319
"28",1742620,"Africa",2014,0.288,0.256
"29",819728,"North America",2014,0.042,0.435
"30",232632,"Oceania",2014,0.217,0.31
"31",1663907,"Africa",2013,0.287,0.251
"32",818984,"North America",2013,0.043,0.431
"33",225471,"Oceania",2013,0.212,0.302
"34",1581968,"Africa",2012,0.287,0.246
"35",816796,"North America",2012,0.045,0.429
"36",225497,"Oceania",2012,0.215,0.3
"37",1520614,"Africa",2011,0.286,0.243
"38",824477,"North America",2011,0.044,0.425
"39",220854,"Oceania",2011,0.21,0.295
"40",1466454,"Africa",2010,0.287,0.241
"41",834095,"North America",2010,0.045,0.425
"42",214809,"Oceania",2010,0.206,0.302
"43",1394088,"Africa",2009,0.287,0.245
"44",841350,"North America",2009,0.046,0.424
"45",203721,"Oceania",2009,0.191,0.306
"46",22009271,"Latin America",2017,0.6,0.307
"47",21728921,"Latin America",2016,0.604,0.305
"48",21615876,"Latin America",2015,0.608,0.303
"49",21448989,"Latin America",2014,0.614,0.299
"50",21187930,"Latin America",2013,0.621,0.295
"51",20987884,"Latin America",2012,0.628,0.291
"52",20830153,"Latin America",2011,0.635,0.29
"53",20565108,"Latin America",2010,0.64,0.29
"54",19884943,"Latin America",2009,0.645,0.291
